species_id,fish_id,hw,TLmm,SLmm,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
apLI9,20/12/00j23,1.1,14.91245674,12.2556468,3.622959884,28.80282539,32.78116716,,,,,
apLI9,20/12/00j4,0.9,12.95679238,10.25293637,2.9428499,19.57336298,22.12361632,,,,,
apLI9,9/12/00j24,1.3,12.35739796,9.713265306,2.828826531,19.90251458,19.32723344,,,,,
apLI9,JML03/20.12.5,1.65,15.64,12.56,3.61,25.34,32.83,,,,,
apLI9,JML03/15.12.18,2.15,17.25,13.8,4.06,37.16,38.7,,,,,
apLI9,JML03/15.12.26,2,16.5,13.02,3.87,30.38,34.42,,,,,
apLI9,JML03/15.12.28,2.05,15.39,12.59,3.66,30.38,32.67,,,,,
apLI9,JML03/18.12.7,1.95,15.8,12.35,3.92,30.39,33.39,,,,,
apLI9,JML03/20.12.3,1.7,24.27,19.39,5.75,89.83,76.7,,,,,
apLI9,JML03/20.12.6,1.75,14.27,11.55,7.05,45.47,56.58,,,,,
apLI9,15/12/00j18,1.3,13.2101125,11.08068223,3.062295875,20.78916629,24.04332633,,,,,
apLI9,15/12/00j4,1.25,13.83130683,11.07898129,3.347385291,21.87380341,26.69135659,,,,,
apLIb,19/12/00j25,0.8,9.59330059,7.619165401,1.837390905,7.906894158,10.73105247,,,,,
apLIb,10/12/01j33,1.15,12.74887218,10.49035088,2.594235589,16.0683664,18.28050703,,1.396694423,2.113531735,9.282235388,4.613667629
apLIb,10/12/01j6,1.3,12.78253242,10.71524341,3.133387632,17.62283788,23.10547064,,,,,
apLIb,12/12/01j31,1,13.90994529,11.16339632,2.933355967,17.81296243,22.50053477,,1.434874486,2.797296983,11.17949439,5.12760858
apLIb,12/12/01j41,1.1,13.01087585,10.52883028,2.550458148,17.02748021,20.25897591,,,,,
apLIb,12/12/01j9,1.2,13.43614799,10.93042916,2.802227858,19.55161912,22.41794726,,,,,
apLIb,14/12/01j12,1.4,13.62534649,10.81857983,2.957332712,19.27350537,22.40212525,,,,,
apLIf,20/12/01j16,1.6,15.25571503,12.13427527,4.776000597,46.783179,40.98441549,,2.108435217,3.547145212,16.7701581,11.54899008
apLIf,21/12/01j25,1.85,14.22588138,10.59419426,4.12761921,39.80177237,33.69242718,,1.820497793,3.015584447,13.6121133,9.164912648
apLIf,21/12/01j5,2.1,14.46715863,11.53523054,4.511859116,35.95073833,39.0861865,,,,,
apLIh,19/12/00j11,1.7,12.75372732,8.988683312,3.260283815,22.77327746,21.9737748,,1.474545455,2.932121212,10.6446281,6.089990817
apLIh,20/12/00j14,0.8,11.25767683,9.068057432,2.933000961,18.98028416,20.20850347,,1.565959315,2.592831374,9.629967568,5.748928254
apLIh,29/11/01j29,1.2,10.12591912,7.957628676,2.959742647,15.18799673,16.39949178,,,,,
apLIh,19/11/01j42,1.1,10.43044061,8.211290397,2.69998613,13.87749187,17.08210129,,,,,
apLIk,20/12/01j15,1.9,15.10420059,12.14425269,4.510056859,40.57983198,38.2163664,,1.900416068,3.363960573,19.34944258,9.558337586
apLIk,22/12/00j18,1.9,14.65466947,12.05340686,4.239314999,39.51031793,37.12736919,,2.093664712,4.10864642,17.12600771,8.703467337
apLIk,29/11/01j25,1.4,12.37062554,9.507331313,3.445437362,20.99363732,22.43941257,,,,,
apLIk,29/11/01j30,1.55,13.61124739,11.03772367,3.958532366,29.90862058,30.16379823,,,,,
apLIk,14/12/00j23,1.8,15.31651786,11.96428571,4.330803571,27.97154018,38.54432398,,,,,
apLIk,15/12/00j9,1.8,13.95200408,11.00076589,3.902221088,30.70369168,32.92694384,,,,,
apLIm,11/12/01j39,2.1,19.13312511,16.23489893,4.17349284,50.09410203,48.83190971,,2.52922423,4.334810418,28.90665934,15.90429119
apLIm,17/11/01j39,2.4,24.86989294,20.5129867,5.284699217,81.27745591,77.79869689,,3.003002304,5.51586101,42.84236884,16.73308289
apLIm,27/12/01j4,2.1,19.57037037,15.80756173,3.739197531,53.62416171,46.41656188,,,,,
apLIm,28/11/01j20,2.25,21.85656371,17.24092664,4.195559846,55.45348161,53.41601944,,,,,
apLIu,29/11/01j7,0.95,10.19510361,8.28570086,2.720454866,15.2937319,16.04721908,,,,,
