fish_id,image
15/12/01j39,15v12v01j39
15/12/01j42,15v12v01j42
16/11/01j14,16v11v01j14
16/11/01j15,16v11v01j15
16/11/01j16,16v11v01j16
16/11/01j18,16v11v01j18
16/11/01j19,16v11v01j19
16/11/01j20,16v11v01j20
16/11/01j31,16v11v01j31
16/12/00j25,16v12v00j25
16/12/00j27,16v12v00j27
16/12/01j10,16v12v01j10
16/12/01j14,16v12v01j14
16/12/01j15,16v12v01j15
16/12/01j27,16v12v01j27
16/12/01j28,16v12v01j28
16/12/01j29,16v12v01j29
16/12/01j3,16v12v01j3
16/12/01j30,16v12v01j30
16/12/01j33,16v12v01j33
16/12/01j34,16v12v01j34
16/12/01j37,16v12v01j37
16/12/01j39,16v12v01j39
16/12/01j41,16v12v01j41
16/12/01j9,16v12v01j9
17/11/01j10,17v11v01j10
17/11/01j11,17v11v01j11
17/11/01j20,17v11v01j20
17/11/01j21,17v11v01j21
17/11/01j23,17v11v01j23
17/11/01j24,17v11v01j24
17/11/01j25,17v11v01j25
17/11/01j27,17v11v01j27
17/11/01j29,17v11v01j29
17/11/01j30,17v11v01j30
17/11/01j31,17v11v01j31
17/11/01j32,17v11v01j32
17/11/01j37,17v11v01j37
17/11/01j38,17v11v01j38
17/11/01j39,17v11v01j39
17/11/01j40,17v11v01j40
17/11/01j41,17v11v01j41
17/11/01j42,17v11v01j42
17/12/01j16,17v12v01j16
17/12/01j18,17v12v01j18
17/12/01j19,17v12v01j19
17/12/01j21,17v12v01j21
17/12/01j24,17v12v01j24
17/12/01j25,17v12v01j25
17/12/01j28,17v12v01j28
17/12/01j3,17v12v01j3
17/12/01j32,17v12v01j32
17/12/01j38,17v12v01j38
17/12/01j4,17v12v01j4
17/12/01j42,17v12v01j42
17/12/01j5,17v12v01j5
18/11/01j11,18v11v01j11
18/11/01j14,18v11v01j14
18/11/01j28,18v11v01j28
18/11/01j35,18v11v01j35
18/11/01j40,18v11v01j40
18/11/01j42,18v11v01j42
18/12/01j14,18v12v01j14
18/12/01j22,18v12v01j22
18/12/01j33,18v12v01j33
18/12/01j36,18v12v01j36
19/11/01j19,19v11v01j19
19/11/01j20,19v11v01j20
19/11/01j25,19v11v01j25
19/11/01j29,19v11v01j29
19/11/01j34,19v11v01j34
19/11/01j39,19v11v01j39
19/11/01j42,19v11v01j42
19/11/01j9,19v11v01j9
19/12/00j11,19v12v00j11
19/12/00j25,19v12v00j25
19/12/00j26,19v12v00j26
19/12/00j27,19v12v00j27
19/12/01j18,19v12v01j18
19/12/01j25,19v12v01j25
19/12/01j30,19v12v01j30
19/12/01j31,19v12v01j31
19/12/01j42,19v12v01j42
19/12/01j6,19v12v01j6
2/01/01j19,2v01v01j19
20/11/01j15,20v11v01j15
20/11/01j18,20v11v01j18
20/11/01j20,20v11v01j20
20/11/01j24,20v11v01j24
20/11/01j28,20v11v01j28
20/11/01j42,20v11v01j42
20/12/00j10,20v12v00j10
20/12/00j12,20v12v00j12
20/12/00j14,20v12v00j14
20/12/00j16,20v12v00j16
20/12/00j18,20v12v00j18
20/12/00j2,20v12v00j2
20/12/00j23,20v12v00j23
20/12/00j4,20v12v00j4
20/12/00j5,20v12v00j5
20/12/00j6,20v12v00j6
20/12/00j7,20v12v00j7
20/12/00j9,20v12v00j9
20/12/01j10,20v12v01j10
20/12/01j15,20v12v01j15
20/12/01j16,20v12v01j16
20/12/01j19,20v12v01j19
20/12/01j23,20v12v01j23
20/12/01j25,20v12v01j25
20/12/01j26,20v12v01j26
20/12/01j27,20v12v01j27
20/12/01j3,20v12v01j3
20/12/01j30,20v12v01j30
20/12/01j37,20v12v01j37
20/12/01j41,20v12v01j41
20/12/01j42,20v12v01j42
20/12/01j5,20v12v01j5
21/11/00j10,21v11v00j10
21/11/00j12,21v11v00j12
21/11/00j13,21v11v00j13
21/11/00j14,21v11v00j14
21/11/00j15,21v11v00j15
21/11/00j16,21v11v00j16
21/11/00j18,21v11v00j18
21/11/00j19,21v11v00j19
21/11/00j20,21v11v00j20
21/11/00j21,21v11v00j21
21/11/00j3,21v11v00j3
21/11/00j9,21v11v00j9
21/11/01j15,21v11v01j15
21/11/01j20,21v11v01j20
21/11/01j26,21v11v01j26
21/11/01j9,21v11v01j9
21/12/00j15,21v12v00j15
21/12/00j16,21v12v00j16
21/12/00j19,21v12v00j19
21/12/00j23,21v12v00j23
21/12/00j25,21v12v00j25
21/12/00j9,21v12v00j9
21/12/01j15,21v12v01j15
21/12/01j16,21v12v01j16
21/12/01j25,21v12v01j25
21/12/01j26,21v12v01j26
21/12/01j27,21v12v01j27
21/12/01j31,21v12v01j31
21/12/01j5,21v12v01j5
22/11/00j30,22v11v00j30
22/11/00j5,22v11v00j5
22/11/00j7,22v11v00j7
22/11/00j9,22v11v00j9
22/11/01j40,22v11v01j40
22/11/01j7,22v11v01j7
22/12/00j18,22v12v00j18
22/12/00j24,22v12v00j24
22/12/00j30,22v12v00j30
22/12/00j40,22v12v00j40
22/12/01j19,22v12v01j19
22/12/01j21,22v12v01j21
22/12/01j38,22v12v01j38
23/11/00j10,23v11v00j10
23/11/00j24,23v11v00j24
23/11/01j12,23v11v01j12
23/11/01j3,23v11v01j3
23/11/01j35,23v11v01j35
23/11/01j38,23v11v01j38
23/11/01j39,23v11v01j39
23/12/00j7,23v12v00j7
23/12/01j14,23v12v01j14
23/12/01j16,23v12v01j16
23/12/01j19,23v12v01j19
23/12/01j21,23v12v01j21
23/12/01j25,23v12v01j25
23/12/01j27,23v12v01j27
23/12/01j31,23v12v01j31
23/12/01j38,23v12v01j38
23/12/01j39,23v12v01j39
23/12/01j4,23v12v01j4
23/12/01j42,23v12v01j42
24/11/00j10,24v11v00j10
24/11/00j11,24v11v00j11
24/11/00j12,24v11v00j12
24/11/00j15,24v11v00j15
24/11/00j17,24v11v00j17
24/11/00j18,24v11v00j18
24/11/00j21,24v11v00j21
24/11/00j22,24v11v00j22
24/11/00j23,24v11v00j23
24/11/00j24,24v11v00j24
24/11/00j25,24v11v00j25
24/11/00j27,24v11v00j27
24/11/00j29,24v11v00j29
24/11/00j3,24v11v00j3
24/11/00j30,24v11v00j30
24/11/00j31,24v11v00j31
24/11/00j34,24v11v00j34
24/11/00j35,24v11v00j35
24/11/00j36,24v11v00j36
24/11/00j5,24v11v00j5
24/11/00j7,24v11v00j7
24/11/00j9,24v11v00j9
24/11/01j24,24v11v01j24
24/11/01j40,24v11v01j40
24/12/01j10,24v12v01j10
24/12/01j12,24v12v01j12
24/12/01j20,24v12v01j20
24/12/01j29,24v12v01j29
24/12/01j34,24v12v01j34
24/12/01j36,24v12v01j36
24/12/01j6,24v12v01j6
26/11/00j13,26v11v00j13
26/11/00j14,26v11v00j14
26/11/00j15,26v11v00j15
26/11/00j17,26v11v00j17
26/11/00j18,26v11v00j18
26/11/00j20,26v11v00j20
26/11/00j21,26v11v00j21
26/11/00j24,26v11v00j24
26/11/00j25,26v11v00j25
26/11/00j28,26v11v00j28
26/11/00j30,26v11v00j30
26/11/00j4,26v11v00j4
26/11/00j6,26v11v00j6
26/11/00j7,26v11v00j7
26/11/00j9,26v11v00j9
26/12/00j11,26v12v00j11
26/12/00j12,26v12v00j12
26/12/00j15,26v12v00j15
26/12/00j16,26v12v00j16
26/12/00j19,26v12v00j19
26/12/00j23,26v12v00j23
26/12/00j24,26v12v00j24
26/12/00j26,26v12v00j26
