fish_id,TLmm,SLmm,hw,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
jml03/15.12.6,10.42,8.26,1.65,3.58,20.75,19.94,NA,NA,NA,NA,NA
jml03/15.12.8,9.69,7.83,1.85,3.74,18.04,20.32,NA,NA,NA,NA,NA
24/11/00j5,9.935799611,7.841042642,1.3,3.411742006,18.49215929,18.33800669,NA,NA,NA,NA,NA
28/11/00j11,9.767484582,8.433276473,1.3,3.40007873,18.22394185,20.20811389,NA,NA,NA,NA,NA
28/11/00j27,10.41114544,8.089179741,1.3,3.231851069,14.10182815,18.07492457,NA,NA,NA,NA,NA
21/11/00j12,12.11449721,9.421265141,1.4,3.317150548,22.00752957,23.5856023,NA,NA,NA,NA,NA
21/11/00j14,12.33926607,10.0669933,0.9,3.263673633,23.63527271,22.10557866,NA,NA,NA,NA,NA
21/11/00j16,11.31747855,9.397338018,1.2,2.876832646,18.82050262,18.39598001,NA,NA,NA,NA,NA
21/12/00j23,11.36170213,8.913689281,1,3.213970293,17.69517594,19.91271347,NA,NA,NA,NA,NA
jml03/11.12.3,11.77,9.48,1.45,3.66,21.65,24.38,NA,1.25,2.071702421,10.51362921,4.434928102
jml03/11.12.4,12.55,9.65,1.65,3.7,23.91,24.65,NA,1.773821832,2.111225984,12.74298113,4.821138792
jml03/11.12.5,11.72,9.61,1.65,3.37,22.78,23.95,NA,NA,NA,NA,NA
jml03/11.12.6,12.15,9.48,1.6,3.54,23.9,25.42,NA,NA,NA,NA,NA
jml03/11.12.7,12.6,9.63,1.65,3.62,25.47,25.93,NA,NA,NA,NA,NA
jml03/11.12.8,11.68,9.15,1.5,3.43,20.99,22.99,NA,NA,NA,NA,NA
jml03/11.12.9,12.67,9.83,1.55,3.62,27.46,26.26,NA,NA,NA,NA,NA
26/11/00j15,11.92868852,9.674180328,1.48,3.649590164,23.25483741,24.92441548,NA,NA,NA,NA,NA
28/11/00j22,12.60346264,9.90926766,1.2,3.38070549,25.62968427,25.29752699,NA,NA,NA,NA,NA
jml03/11.12.1,12.34,9.63,1.5,3.5,22.78,24.16,NA,NA,NA,NA,NA
