species_id,species_note,taxa,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation
pedaru,aruanus,Dascyllus aruanus,212843,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212843,Dascyllus aruanus,"(Linnaeus, 1758)",accepted,NA,220,Species,212843,Dascyllus aruanus,"(Linnaeus, 1758)",205736,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Dascyllus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Dascyllus aruanus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=212843 on 2021-11-12"
pedret,reticulatus,Dascyllus reticulatus,212844,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212844,Dascyllus reticulatus,"(Richardson, 1846)",accepted,NA,220,Species,212844,Dascyllus reticulatus,"(Richardson, 1846)",205736,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Dascyllus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Dascyllus reticulatus (Richardson, 1846). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=212844 on 2021-11-12"
pedtri,trimaculatus,Dascyllus trimaculatus,212846,http://www.marinespecies.org/aphia.php?p=taxdetails&id=212846,Dascyllus trimaculatus,"(Rüppell, 1829)",accepted,NA,220,Species,212846,Dascyllus trimaculatus,"(Rüppell, 1829)",205736,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Dascyllus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Dascyllus trimaculatus (Rüppell, 1829). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=212846 on 2021-11-12"
pedpro,prosopotaenia,Dischistodus prosopotaenia,280564,http://www.marinespecies.org/aphia.php?p=taxdetails&id=280564,Dischistodus prosopotaenia,"(Bleeker, 1852)",accepted,NA,220,Species,280564,Dischistodus prosopotaenia,"(Bleeker, 1852)",269000,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Dischistodus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Dischistodus prosopotaenia (Bleeker, 1852). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=280564 on 2021-11-12"
pemchr,chrysurus,Microspathodon chrysurus,281571,http://www.marinespecies.org/aphia.php?p=taxdetails&id=281571,Microspathodon chrysurus,"(Cuvier, 1830)",accepted,NA,220,Species,281571,Microspathodon chrysurus,"(Cuvier, 1830)",269877,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Microspathodon chrysurus (Cuvier, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=281571 on 2021-11-12"
penmel,melas,Neoglyphidodon melas,218833,http://www.marinespecies.org/aphia.php?p=taxdetails&id=218833,Neoglyphidodon melas,"(Cuvier, 1830)",accepted,NA,220,Species,218833,Neoglyphidodon melas,"(Cuvier, 1830)",206346,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Neoglyphidodon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Neoglyphidodon melas (Cuvier, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=218833 on 2021-11-12"
pennig,nigroris,Neoglyphidodon nigroris,278813,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278813,Neoglyphidodon nigroris,"(Cuvier, 1830)",accepted,NA,220,Species,278813,Neoglyphidodon nigroris,"(Cuvier, 1830)",206346,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Neoglyphidodon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Neoglyphidodon nigroris (Cuvier, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278813 on 2021-11-12"
pennigo,nigroris,Neoglyphidodon nigroris,278813,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278813,Neoglyphidodon nigroris,"(Cuvier, 1830)",accepted,NA,220,Species,278813,Neoglyphidodon nigroris,"(Cuvier, 1830)",206346,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Neoglyphidodon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Neoglyphidodon nigroris (Cuvier, 1830). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278813 on 2021-11-12"
penazy,azysron,Neopomacentrus azysron,218837,http://www.marinespecies.org/aphia.php?p=taxdetails&id=218837,Neopomacentrus azysron,"(Bleeker, 1877)",accepted,NA,220,Species,218837,Neopomacentrus azysron,"(Bleeker, 1877)",206462,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Neopomacentrus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Neopomacentrus azysron (Bleeker, 1877). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=218837 on 2021-11-12"
pencya,cyanomos,Neopomacentrus cyanomos,218839,http://www.marinespecies.org/aphia.php?p=taxdetails&id=218839,Neopomacentrus cyanomos,"(Bleeker, 1856)",accepted,NA,220,Species,218839,Neopomacentrus cyanomos,"(Bleeker, 1856)",206462,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Neopomacentrus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Neopomacentrus cyanomos (Bleeker, 1856). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=218839 on 2021-11-12"
